 ,Area,Mean,Min,Max,X,Y
1,0.000,163.000,163,163,0.700,3.585
2,0.000,40.000,40,40,5.934,3.896
3,0.000,129.000,129,129,5.978,3.368
4,0.000,154.000,154,154,5.704,3.559
5,0.000,73.000,73,73,3.756,2.291
6,0.000,32.000,32,32,3.641,4.138
7,0.000,168.000,168,168,2.170,3.743
8,1.661,141.048,7,220,0.000,0.000
9,6.168,151.404,0,238,0.000,0.000
