 ,Area,Mean,Min,Max,X,Y
1,0.000,209.000,209,209,1.536,2.661
2,0.000,21.000,21,21,3.759,2.916
3,0.000,205.000,205,205,3.800,2.464
4,0.000,163.000,163,163,3.599,2.620
5,0.000,187.000,187,187,3.097,2.173
6,0.000,23.000,23,23,3.031,2.961
7,0.000,213.000,213,213,2.454,2.715
8,0.282,177.875,44,247,0.000,0.000
9,0.997,181.981,8,251,0.000,0.000
