 ,Area,Mean,Min,Max,X,Y
1,0.000,229.000,229,229,1.660,3.651
2,0.000,73.000,73,73,7.394,3.789
3,0.000,77.000,77,77,7.347,3.427
4,0.000,190.000,190,190,7.117,3.473
5,0.000,81.000,81,81,6.018,2.766
6,0.000,198.000,198,198,6.010,4.035
7,0.000,162.000,162,162,4.734,3.712
8,0.954,167.666,38,249,0.000,0.000
9,4.091,175.922,27,251,0.000,0.000
