 ,Area,Mean,Min,Max,X,Y
1,0.000,220.000,220,220,1.590,3.510
2,0.000,27.000,27,27,9.018,3.869
3,0.000,26.000,26,26,9.158,3.279
4,0.000,203.000,203,203,8.628,3.299
5,0.000,102.000,102,102,6.838,1.959
6,0.000,11.000,11,11,6.628,4.639
7,0.000,225.000,225,225,4.019,3.699
8,4.570,214.303,72,255,0.000,0.000
9,12.182,198.958,0,255,0.000,0.000
