 ,Area,Mean,Min,Max,X,Y
1,0.000,120.000,120,120,1.602,3.280
2,0.000,42.000,42,42,5.429,3.491
3,0.000,158.000,158,158,4.997,2.806
4,0.000,174.000,174,174,4.867,3.060
5,0.000,153.000,153,153,3.909,2.252
6,0.000,39.000,39,39,3.847,3.532
7,0.000,169.000,169,169,3.655,3.012
8,0.285,112.771,8,249,0.000,0.000
9,2.433,129.146,7,249,0.000,0.000
