 ,Area,Mean,Min,Max,X,Y
1,0.000,233.000,233,233,0.992,1.910
2,0.000,74.000,74,74,2.599,2.286
3,0.000,153.000,153,153,2.682,1.890
4,0.000,215.000,215,215,2.580,1.945
5,0.000,152.000,152,152,2.086,1.474
6,0.000,63.000,63,63,1.968,2.439
7,0.000,210.000,210,210,1.505,1.897
8,0.286,149.557,44,245,0.000,0.000
9,0.981,177.728,28,252,0.000,0.000
