 ,Area,Mean,Min,Max,X,Y
1,0.000,113.000,113,113,2.461,4.219
2,0.000,23.000,23,23,5.854,4.240
3,0.000,198.000,198,198,5.967,3.634
4,0.000,182.000,182,182,5.732,3.854
5,0.000,142.000,142,142,5.134,3.165
6,0.000,38.000,38,38,4.914,4.362
7,0.000,164.000,164,164,3.801,4.021
8,0.636,139.601,43,225,0.000,0.000
9,2.150,150.653,13,245,0.000,0.000
