 ,Area,Mean,Min,Max,X,Y
1,0.000,109.000,109,109,0.606,4.368
2,0.000,144.000,144,144,10.240,5.580
3,0.000,209.000,209,209,10.465,3.446
4,0.000,217.000,217,217,9.836,3.850
5,0.000,209.000,209,209,8.106,2.795
6,0.000,194.000,194,194,7.904,6.051
7,0.000,165.000,165,165,4.389,4.434
8,4.280,186.613,16,241,0.000,0.000
9,23.524,183.163,7,247,0.000,0.000
