 ,Area,Mean,Min,Max,X,Y
1,0.000,76.000,76,76,1.636,2.000
2,0.000,146.000,146,146,2.946,2.662
3,0.000,101.000,101,101,3.351,2.551
4,0.000,218.000,218,218,3.217,2.431
5,0.000,117.000,117,117,2.866,1.479
6,0.000,39.000,39,39,2.737,2.591
7,0.000,167.000,167,167,2.488,2.004
8,0.245,144.243,47,214,0.000,0.000
9,1.224,157.733,12,236,0.000,0.000
