 ,Area,Mean,Min,Max,X,Y
1,0.000,141.000,141,141,0.705,4.694
2,0.000,103.000,103,103,9.744,6.113
3,0.000,130.000,130,130,9.912,4.482
4,0.000,92.000,92,92,9.281,4.713
5,0.000,127.000,127,127,7.302,2.777
6,0.000,32.000,32,32,6.871,6.155
7,0.000,78.000,78,78,4.419,5.092
8,6.021,115.733,12,223,0.000,0.000
9,21.252,130.326,12,228,0.000,0.000
