 ,Area,Mean,Min,Max,X,Y
1,0.000,142.000,142,142,2.911,5.611
2,0.000,127.000,127,127,12.654,7.761
3,0.000,173.000,173,173,12.696,6.453
4,0.000,180.000,180,180,12.106,6.706
5,0.000,29.000,29,29,10.067,4.400
6,0.000,149.000,149,149,9.392,8.084
7,0.000,215.000,215,215,6.481,5.932
8,6.889,174.478,77,228,0.000,0.000
9,25.361,175.296,1,228,0.000,0.000
