 ,Area,Mean,Min,Max,X,Y
1,0.000,39.000,39,39,1.296,2.196
2,0.000,65.000,65,65,3.928,2.815
3,0.000,143.000,143,143,3.954,2.617
4,0.000,212.000,212,212,3.746,2.497
5,0.000,138.000,138,138,3.267,1.914
6,0.000,111.000,111,111,3.153,2.742
7,0.000,55.000,55,55,2.268,2.201
8,0.322,61.510,36,223,0.000,0.000
9,1.491,72.513,24,243,0.000,0.000
