 ,Area,Mean,Min,Max,X,Y
1,0.000,204.000,204,204,0.545,1.838
2,0.000,39.000,39,39,3.833,1.923
3,0.000,64.000,64,64,3.684,1.416
4,0.000,160.000,160,160,3.531,1.680
5,0.000,119.000,119,119,2.531,1.067
6,0.000,28.000,28,28,2.378,2.182
7,0.000,177.000,177,177,2.008,1.740
8,0.483,147.926,11,225,0.000,0.000
9,2.140,164.118,11,242,0.000,0.000
