 ,Area,Mean,Min,Max,X,Y
1,0.000,212.000,212,212,0.757,1.455
2,0.000,105.000,105,105,1.972,1.680
3,0.000,174.000,174,174,2.110,1.424
4,0.000,180.000,180,180,2.027,1.427
5,0.000,116.000,116,116,1.741,1.040
6,0.000,36.000,36,36,1.618,1.655
7,0.000,158.000,158,158,1.347,1.393
8,0.137,148.254,23,210,0.000,0.000
9,0.561,165.117,14,226,0.000,0.000
