 "GUID","COLLECTION","CAT_NUM","DEACCESSIONED","TOPTYPESTATUS","SCI_NAME_WITH_AUTH_PLAIN","SPEC_LOCALITY","COLLECTORS","BEGAN_DATE","ENDED_DATE","COUNTRY","STATE_PROV","WATERBODY","VERBATIM_DATE","OTHERCATALOGNUMBERS"
"MCZ:Ich:25309","Ichthyology","25309","","","Opsanus sp.","Recife and environs","Thayer Expedition to Brazil, Louis Agassiz, D. Bourget","1865-07-31","1865-07-31","Brazil","Pernambuco","","31/7/1865-31/7/1865","field number=THAYER096; group number=289"
"MCZ:Ich:25311","Ichthyology","25311","","","Tetraodon bajacu","Sao Mateus, Rio Sao Mateus","Thayer Expedition to Brazil, Charles F. Hartt, Edward Copeland","1865-11-01","1965-12-31","Brazil","Espirito Santo","","0/11/1865-0/12/1865","field number=THAYER125; group number=783"
"MCZ:Ich:25522","Ichthyology","25522","","","Steindachneridion parahybae (Steindachner 1877)","Rio Paraiba do Sul, between Barra do Pirai and Tres Rios (D. Pedro II Railroad)","Thayer Expedition to Brazil, Louis Agassiz, D. Bourget","1865-04-01","1865-04-30","Brazil","Rio de Janeiro","","0/4/1865-0/4/1865","field number=THAYER084; group number=267"
"MCZ:Ich:25561","Ichthyology","25561","","","Chaetodipterus faber (Broussonet, 1782)","Off South Carolina","[no agent data]","1700-01-01","1994-03-01","","","Atlantic, Western Central","[no verbatim date data]","field number=Z25561; group number=583"
"MCZ:Ich:24237","Ichthyology","24237","","","Polyodon spathula (Walbaum, 1792)","Mobile","[no agent data]","1700-01-01","2016-10-21","United States","Alabama","","[no verbatim date data]","field number=MOBILE; group number=60"
"MCZ:Ich:29133","Ichthyology","29133","","","Aulostomus maculatus Val.","New Providence, Nassau","Sherman F. Denton","1700-01-01","1992-03-01","Commonwealth of the Bahamas","","Atlantic, Western Central","[no verbatim date data]","field number=SFD:NASSAU; group number=404"
"MCZ:Ich:29326","Ichthyology","29326","","","Conger vulgaris Yarrell, 1832","off Plymouth","Sherman F. Denton","1909-12-28","1909-12-28","United Kingdom","","Atlantic, Northeast","28/12/1909-28/12/1909","field number=SFD:PLYMOUTH UK; group number=85"
"MCZ:Ich:36459","Ichthyology","36459","","","Dasyatis centroura (Mitchill, 1815)","Buzzards Bay","[no agent data]","1945-08-11","1945-08-11","United States","Massachusetts","Atlantic, Northwest","11/8/1945-11/8/1945","field number=Z36459; group number=40"
"MCZ:Ich:32891","Ichthyology","32891","","","Elops saurus Linnaeus, 1766","Yucatan","Thomas Barbour, Leon J. Cole","1904-01-01","1904-12-31","Mexico","Yucatan","Gulf of Mexico","1904-1904","field number=B&C1904:YUC; group number=65"
"MCZ:Ich:30524","Ichthyology","30524","","","Holotrachys lima (Valenciennes, 1831)","Oahu, vicinity of Honolulu","Sherman F. Denton","1700-01-01","1994-03-01","United States","Hawaii","Pacific, Eastern Central","[no verbatim date data]","field number=SFD:OAHU; group number=376; previous number=10"
"MCZ:Ich:30525","Ichthyology","30525","","","Flammeo sammara (Forsskål, 1775)","Oahu, vicinity of Honolulu","Sherman F. Denton","1700-01-01","1994-03-01","United States","Hawaii","Pacific, Eastern Central","[no verbatim date data]","field number=SFD:OAHU; group number=376; previous number=39"
"MCZ:Ich:30538","Ichthyology","30538","","","Rhinecanthus rectangulus (Bloch and Schneider, 1801)","Oahu, vicinity of Honolulu","Sherman F. Denton","1700-01-01","1994-03-01","United States","Hawaii","Pacific, Eastern Central","[no verbatim date data]","field number=SFD:OAHU; group number=778; previous number=7"
"MCZ:Ich:39571","Ichthyology","39571","","","Centrophorus squamosus","Azores-Britain, southwest of the Faroes","Michael Sars","1902-01-01","1902-12-31","","","Atlantic, Northeast","1902-1902","field number=MS1902:FAROES; group number=28"
