 "GUID","COLLECTION","CAT_NUM","DEACCESSIONED","TOPTYPESTATUS","SCI_NAME_WITH_AUTH_PLAIN","SPEC_LOCALITY","COLLECTORS","BEGAN_DATE","ENDED_DATE","COUNTRY","STATE_PROV","WATERBODY","VERBATIM_DATE","OTHERCATALOGNUMBERS"
"MCZ:Ich:124964","Ichthyology","124964","","","Microdesmus lanceolatus Dawson, 1962","[no specific locality data]","Richard H. Backus, RV Atlantis II 078","1973-09-27","1973-09-28","Guyana","","Atlantic, Western Central","27/9/1973-28/9/1973","field number=RHB2957; group number=719"
"MCZ:Ich:124967","Ichthyology","124967","","","Microdesmus longipinnus","[no specific locality data]","RV Anton Bruun 19","1966-10-07","1966-10-07","Panama","","Caribbean Sea","7/10/1966-7/10/1966","field number=AB19-813; group number=719"
"MCZ:Ich:147331","Ichthyology","147331","","","Nemichthys scolopaceus Richardson, 1848","[no specific locality data]","Andrew E. Jahn, RV Atlantis II 071","1972-09-26","1972-09-26","High Seas","","Atlantic, Northwest","26/9/1972-26/9/1972","field number=AEJ007; group number=96"
"MCZ:Ich:144440","Ichthyology","144440","","","Manducus maderensis (Johnson, 1890)","[coordinate data only]","Charles E. Lea, RV Oceanus 052","1978-11-04","1978-11-04","Canary Islands","","Atlantic, Eastern Central","4/11/1978-4/11/1978","field number=CEL7859; group number=147"
"MCZ:Ich:133101","Ichthyology","133101","","Voucher","Astronesthes niger Richardson 1844","[no specific locality data]","RV Atlantis II 059, James E. Craddock","1970-11-26","1970-11-26","","","Atlantic, Eastern Central","26/11/1970-26/11/1970","field number=SUN2086; group number=150"
"MCZ:Ich:145490","Ichthyology","145490","","","Melamphaes pumilus Ebeling, 1962","[coordinate data only]","Andrew E. Jahn, RV Atlantis II 071","1972-09-24","1972-09-24","High Seas","","Atlantic, Northwest","24/9/1972-24/9/1972","field number=AEJ004; group number=363"
"MCZ:Ich:133705","Ichthyology","133705","","","Valenciennellus tripunctulatus (Esmark, 1871)","off Azores","Richard H. Backus, RV Chain 105","1972-07-09","1972-07-09","Portugal","Autonomous Region of the Azores","Atlantic, Northeast","9/7/1972-9/7/1972","field number=RHB2555; group number=149"
"MCZ:Ich:133714","Ichthyology","133714","","","Valenciennellus tripunctulatus (Esmark, 1871)","[coordinate data only]","Richard H. Backus, RV Chain 105","1972-07-13","1972-07-13","Portugal","","Atlantic, Eastern Central","13/7/1972-13/7/1972","field number=RHB2569; group number=149"
"MCZ:Ich:137759","Ichthyology","137759","","","Channa sp.","[no specific locality data]","[no agent data]","1981-03-25","1981-03-25","","","","25 Mar 1981","field number=NODATA; group number=413"
"MCZ:Ich:137760","Ichthyology","137760","","","Cichlidae sp.","[no specific locality data]","[no agent data]","1981-03-25","1981-03-25","","","","25 Mar 1981","field number=NODATA; group number=601"
